23.103854875,New Point
27.469206349,New Point
29.953741496,New Point
32.531156462,New Point
33.622494331,New Point
38.220045351,New Point
39.729342403,New Point
43.955374149,New Point
45.325351473,New Point
52.314557823,New Point
53.568435374,New Point
55.170612244,New Point
56.633469387,New Point
60.673741496,New Point
62.368798185,New Point
63.274376417,New Point
67.546848072,New Point
69.032925170,New Point
73.955555555,New Point
77.810068027,New Point
80.666122448,New Point
83.522176870,New Point
84.520634920,New Point
89.025306122,New Point
90.581043083,New Point
94.667755102,New Point
96.339591836,New Point
100.333424036,New Point
101.447981859,New Point
103.003718820,New Point
104.420136054,New Point
106.138412698,New Point
107.508390022,New Point
111.711201814,New Point
113.197278911,New Point
116.355192743,New Point
117.353650793,New Point
119.536326530,New Point
120.140045351,New Point
122.833560090,New Point
123.390839002,New Point
128.058049886,New Point
128.615328798,New Point
130.867664399,New Point
131.424943310,New Point
134.048798185,New Point
134.234557823,New Point
136.394013605,New Point
152.764081632,New Point
157.059773242,New Point
157.942131519,New Point
159.474648526,New Point
160.983945578,New Point
162.539682539,New Point
164.002539682,New Point
167.578412698,New Point
169.714648526,New Point
173.197641723,New Point
174.010340136,New Point
176.007256235,New Point
176.587755102,New Point
179.234829931,New Point
179.513469387,New Point
181.463945578,New Point
181.928344671,New Point
184.528979591,New Point
185.063038548,New Point
187.338594104,New Point
187.872653061,New Point
190.566167800,New Point
191.169886621,New Point
192.772063492,New Point
193.282902494,New Point
195.512018140,New Point
196.278276643,New Point
198.577052154,New Point
199.111111111,New Point
201.804625850,New Point
202.060045351,New Point
207.075555555,New Point
207.679274376,New Point
209.885170068,New Point
210.442448979,New Point
213.089523809,New Point
213.298503401,New Point
215.365079365,New Point
215.806258503,New Point
218.314013605,New Point
219.126712018,New Point
221.379047619,New Point
221.750566893,New Point
224.397641723,New Point
224.653061224,New Point
226.603537414,New Point
226.858956916,New Point
229.459591836,New Point
